slice number,count
22,1
23,1
4,0
5,0
28,0
29,0
16,0
17,0
35,0
34,0
32,0
33,0
25,0
24,1
3,0
2,0
11,0
10,0
9,0
8,0
15,0
14,0
21,1
20,1
7,0
6,0
12,0
13,0
26,0
27,0
18,0
19,1
31,0
30,0
