slice number,count
22,1
23,1
4,0
5,0
28,1
29,1
16,1
17,1
35,0
34,0
32,1
33,0
25,1
24,1
3,0
2,0
11,1
10,1
9,0
8,0
15,1
14,1
21,1
20,1
7,1
6,0
12,1
13,1
26,1
27,1
18,1
19,1
31,1
30,1
