slice number,count
22,0
23,0
4,0
5,0
28,1
29,1
16,1
17,1
35,0
34,0
32,1
33,1
25,0
24,0
3,0
2,0
11,1
10,0
9,0
8,0
15,0
14,0
21,0
20,0
7,0
6,0
12,1
13,1
26,0
27,1
18,1
19,0
31,1
30,1
