slice number,count
22,0
23,1
4,0
5,0
28,1
29,1
16,0
17,0
35,0
34,0
32,1
33,1
25,1
24,1
3,0
2,0
11,0
10,0
9,0
8,0
15,1
14,0
21,0
20,1
7,0
6,0
12,0
13,0
26,1
27,1
18,0
19,1
31,1
30,1
